main_id,incident_id,incident_type,region_of_incident,incident_date,incident_year,reported_month,number_of_dead,minimum_estimated_number_of_missing,total_number_of_dead_and_missing,number_of_survivors,number_of_females,number_of_males,number_of_children,region_of_origin,cause_of_death,migration_route,location_of_death,information_source,coordinates,unsd_geographical_grouping,article_title,source_quality,url,lon,lat,death_cause_clean
2014.MMP00005,2014.MMP00005,Incident,Europe,2014-01-16,2014,January,1.0,0.0,1,2.0,,1.0,,Northern Africa,"Harsh environmental conditions / lack of adequate shelter, food, water",,Border between Russia and Estonia,EUBusiness (Agence France-Presse), 28 59.1551,Northern Europe,Sudanese migrant freezes to death in illegal EU-Russia crossing ,1.0,http://bit.ly/1rTFTjR,28,59.1551,Harsh environmental conditions
2014.MMP00007,2014.MMP00007,Incident,Mediterranean,2014-01-19,2014,January,12.0,,12,,9.0,,3.0,Unknown,Drowning,Eastern Mediterranean,Waters near Greece while being towed back to Turkey,European Council on Refugees and Exiles, 27 37.2832,Uncategorized,12 refugees die during alleged push-back operation off Greek Island,5.0,http://bit.ly/2aMCwfg,27,37.2832,Drowning
2014.MMP00015,2014.MMP00015,Incident,Europe,2014-01-30,2014,January,1.0,0.0,1,2.0,,1.0,1.0,Southern Asia,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais,Calais Migrant Solidarity , 2 50.9355,Western Europe,Minor killed by a truck,4.0,http://bit.ly/1icTIF9,2,50.9355,Vehicle accident
2014.MMP00018,2014.MMP00018,Incident,Mediterranean,2014-02-06,2014,February,15.0,0.0,15,0.0,,1.0,,Unknown,Violence,Western Mediterranean,Ceuta waters,L'Espresso, -5 35.8793,Uncategorized,Migrants clubbed to death at the border Boycott Morocco and Spain,1.0,http://bit.ly/U4b8wu,-5,35.8793,Violence
2014.MMP00022,2014.MMP00022,Incident,Mediterranean,2014-02-17,2014,February,2.0,0.0,2,121.0,,2.0,,Eastern Africa,Mixed or unknown,Central Mediterranean,Italy waters,Malta Today, 16 34.5645,Uncategorized,Two men found dead on migrant boat rescued off Italy,1.0,http://bit.ly/V7JIqE,16,34.5645,Mixed or unknown
2014.MMP00031,2014.MMP00031,Incident,Mediterranean,2014-02-27,2014,February,7.0,,7,,,,,Eastern Africa,Violence,Central Mediterranean,Libyan Coast,Libya herald, 15 33.1597,Uncategorized,Coastguard rescues over a hundred migrants,1.0,http://bit.ly/1lvR4Ka,15,33.1597,Violence
2014.MMP00033,2014.MMP00033,Incident,Europe,2014-03-09,2014,March,1.0,0.0,1,0.0,,1.0,,Europe,Violence,English Channel to the UK,France - Calais (Killed on motorway),"La Voix du Nord, Daily Mail UK ", 2 50.9365,Western Europe,Dying to get into Britain...,1.0,https://archive.vn/USuIs,2,50.9365,Violence
2014.MMP00038,2014.MMP00038,Incident,Europe,2014-03-12,2014,March,1.0,0.0,1,0.0,,1.0,,Eastern Africa,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais (Hit by lorry in port),"France Info, Daily Mail UK ", 2 50.9686,Western Europe,Dying to get into Britain...,3.0,http://dailym.ai/1iYPbax,2,50.9686,Vehicle accident
2014.MMP00040,2014.MMP00040,Incident,Europe,2014-03-14,2014,March,1.0,0.0,1,0.0,,1.0,,Eastern Africa,Mixed or unknown,English Channel to the UK,France - Calais (Body found on dock),Daily Mail UK , 2 50.950273,Western Europe,Dying to get into Britain...,3.0,http://dailym.ai/1iYPbax,2,50.950273,Mixed or unknown
2014.MMP00041,2014.MMP00041,Incident,Europe,2014-03-15,2014,March,1.0,0.0,1,2.0,,1.0,,Eastern Africa,Vehicle accident / death linked to hazardous transport,English Channel to the UK,France - Calais (Body found crushed in transporter),Daily Mail UK , 2 50.9688,Western Europe,Dying to get into Britain...,3.0,http://dailym.ai/1iYPbax,2,50.9688,Vehicle accident
